author_country,author_link,author_name
 Sweden ,https://www.dafont.com/adam-ericsson.d6376,Adam Ericsson
 Sweden ,https://www.dafont.com/andreas-gustavsson.d2099,Andreas
 Sweden ,https://www.dafont.com/james-eshuis.d2112,Andrew Nordquist
 Sweden ,https://www.dafont.com/anton.d1233,Anton - Anton Lundström
 Sweden ,https://www.dafont.com/anton-bohlin.d3083,Anton Bohlin
 Sweden ,https://www.dafont.com/arman-ay.d4568,Arman Ay
 Sweden ,https://www.dafont.com/benjamin-blaholtz.d7666,Benjamin Blåholtz
 Sweden ,https://www.dafont.com/benjamin-rauber.d5305,benjamin rauber
 Sweden ,https://www.dafont.com/mostafa-el-abasiry.d3622,Bolahool Graphics
 Sweden ,https://www.dafont.com/botond-bokor.d4194,Botond Bokor
 Sweden ,https://www.dafont.com/caesar.d5957,Caesar
 Sweden ,https://www.dafont.com/carl-enlund.d7008,Carl Enlund
 Sweden ,https://www.dafont.com/david-lindecrantz.d4780,David Lindecrantz
 Sweden ,https://www.dafont.com/dawnland.d2845,dawnland - Daniel Viberg
 Sweden ,https://www.dafont.com/grot-havregrynsson.d4653,Gröt Havregrynsson
 Sweden ,https://www.dafont.com/henriavecunk.d6295,HENRIavecunK - Henrik
 Sweden ,https://www.dafont.com/henrik-johansson.d5458,Henrik Johansson
 Sweden ,https://www.dafont.com/johan-brodd.d3729,Johan Brodd
 Sweden ,https://www.dafont.com/johan-waldenstrom.d24,Johan Waldenström
 Sweden ,https://www.dafont.com/kingdgaming.d5969,KingDGaming - Elias Eriksson
 Sweden ,https://www.dafont.com/lars-hahus.d3254,Lars Håhus
 Sweden ,https://www.dafont.com/linn-mustanoja.d2430,Linn Mustanoja
 Sweden ,https://www.dafont.com/mandy-pandy.d3496,Mandy Pandy
 Sweden ,https://www.dafont.com/mathias-alvebring.d4786,Mathias Alvebring
 Sweden ,https://www.dafont.com/mans-greback.d2878,Måns Grebäck
 Sweden ,https://www.dafont.com/oliver-waldemar.d5643,Oliver Waldemar
 Sweden ,https://www.dafont.com/pia-hed-aspell.d3266,Pia Hed Aspell
 Sweden ,https://www.dafont.com/par-lundkvist.d1662,Pär Lundkvist
 Sweden ,https://www.dafont.com/ronja-melcker.d4665,ronjam - Ronja Melcker
